url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at,num_ampersand,num_percent,num_digits,domain_length,subdomain_length,tld_length,subdomain_count,path_depth,num_params,has_ip,has_port,is_https,entropy,suspicious_word_count,brand_in_subdomain,brand_in_path,suspicious_tld,is_shortened,special_char_ratio,label
25,6,11,0,1,0,0,3,0,0,0,0,0,1,3,0,2,0,1,0,0,0,1,3.6732696895151076,0,0,0,0,0,0.2,1
41,32,1,0,2,0,0,3,0,0,0,0,0,0,11,16,3,1,0,0,0,0,1,4.137086150537407,0,0,0,0,0,0.14634146341463414,1
40,21,11,0,2,2,0,4,0,0,0,0,0,0,5,12,2,1,1,0,0,0,1,3.9816870830264417,0,0,0,0,0,0.225,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.5,0,0,0,0,0,0.25,0
39,15,16,0,2,0,0,3,0,0,0,0,0,15,7,3,3,1,1,0,0,0,1,4.31682689807206,0,0,0,0,0,0.15384615384615385,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6211755429194716,0,0,0,0,0,0.21739130434782608,0
26,18,0,0,2,0,0,2,0,0,0,0,0,0,10,3,3,1,0,0,0,0,1,3.796217602590056,0,0,0,0,0,0.19230769230769232,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,4.021928094887362,0,0,0,0,0,0.2,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.19047619047619047,0
23,8,7,0,2,0,0,3,0,0,0,0,0,1,3,1,2,1,1,0,0,0,1,4.0559581516151235,0,0,0,0,0,0.2608695652173913,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3.884183719779189,0,0,0,0,0,0.2,0
28,19,1,0,2,0,0,3,0,0,0,0,0,0,3,11,3,1,0,0,0,0,1,3.869331261111519,0,0,0,0,0,0.21428571428571427,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3.5068905956085183,0,0,0,0,0,0.26666666666666666,0
27,19,0,0,2,0,0,2,0,0,0,0,0,0,9,5,3,1,0,0,0,0,1,3.810081020521731,0,0,0,0,0,0.18518518518518517,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.7887549139935026,0,0,0,0,0,0.22727272727272727,0
